Airline,Origin,Destination,Date,Departure Time,Arrival Time,Cabin Class,Flight Duration (hrs),Price (USD)
Air Canada,JFK,ORD,2024-09-14,17:27,05:39,Business,7.55,1010.25
Delta,MUC,DFW,2024-09-13,06:42,03:04,First,3.62,6271.51
American Airlines,YVR,DFW,2024-09-14,11:22,11:24,Business,11.05,3431.47
United,SFO,DFW,2024-09-13,14:41,09:40,Business,3.31,1170.54
American Airlines,LAX,MUC,2024-09-16,08:04,05:43,First,8.93,5388.8
Air Canada,MUC,SFO,2024-09-18,04:37,21:10,Economy,5.55,1690.11
Delta,DFW,ATL,2024-09-12,03:35,15:50,Economy,6.06,1483.78
Air Canada,ORD,YYZ,2024-09-12,07:15,21:54,First,10.82,355.96
American Airlines,MUC,FRA,2024-09-14,05:30,21:55,First,3.33,5870.79
American Airlines,FRA,LAX,2024-09-17,22:32,07:16,First,4.85,2185.87
Delta,JFK,LAX,2024-09-14,03:56,01:33,Business,5.72,4161.1
Air Canada,YYZ,MUC,2024-09-16,07:12,21:24,Economy,11.47,509.3
Delta,SFO,DFW,2024-09-12,08:54,02:20,First,6.42,5521.3
Air Canada,YYZ,JFK,2024-09-16,12:07,02:40,First,3.26,5007.74
Delta,YYZ,JFK,2024-09-12,16:30,09:32,Economy,5.8,959.11
United,ORD,LAX,2024-09-14,19:31,19:44,Economy,8.87,1077.31
United,FRA,JFK,2024-09-14,19:26,19:18,Business,7.69,3623.05
Air Canada,JFK,MUC,2024-09-13,00:15,06:03,Business,10.83,1946.04
Delta,YVR,JFK,2024-09-13,12:52,22:35,Economy,9.22,1083.73
United,ORD,FRA,2024-09-12,23:21,18:56,Business,3.86,3005.88
Lufthansa,ATL,DFW,2024-09-16,04:24,22:23,Economy,9.44,135.3
Delta,YVR,ORD,2024-09-18,11:34,18:03,First,8.47,6343.25
Delta,YVR,YYZ,2024-09-17,10:27,21:30,Business,1.18,2694.14
American Airlines,JFK,FRA,2024-09-16,06:41,12:47,First,11.85,5594.41
United,ORD,YYZ,2024-09-18,10:02,01:10,First,10.12,4005.19
Delta,YVR,FRA,2024-09-18,04:10,09:04,Economy,7.54,745.82
United,MUC,ATL,2024-09-17,14:23,06:44,Business,1.63,2214.38
Delta,DFW,ATL,2024-09-13,05:04,12:12,Business,7.37,245.72
Delta,MUC,JFK,2024-09-18,10:30,02:22,Business,6.76,2456.0
United,SFO,YVR,2024-09-18,00:16,14:06,First,6.65,5513.29
American Airlines,SFO,FRA,2024-09-18,19:28,08:23,Business,8.17,2357.2
United,FRA,MUC,2024-09-13,07:57,14:50,Business,11.0,315.85
American Airlines,YVR,YYZ,2024-09-13,03:54,14:14,Economy,5.62,1019.75
United,YYZ,ORD,2024-09-17,12:57,10:15,First,9.69,5336.49
Air Canada,DFW,ATL,2024-09-13,03:58,22:37,First,4.96,2899.99
Lufthansa,YVR,JFK,2024-09-17,12:55,18:31,First,9.57,4213.47
United,FRA,JFK,2024-09-16,06:44,09:24,First,6.83,3524.07
Lufthansa,FRA,ATL,2024-09-17,22:29,03:36,First,4.01,1052.27
Lufthansa,ORD,MUC,2024-09-15,02:23,23:03,First,10.52,5365.42
Air Canada,YVR,MUC,2024-09-16,06:08,19:56,First,3.37,3235.45
Lufthansa,ORD,MUC,2024-09-18,06:36,08:52,Business,2.56,3061.9
American Airlines,ORD,YVR,2024-09-12,04:16,04:05,Business,3.91,2788.81
Lufthansa,FRA,DFW,2024-09-13,18:08,10:25,Economy,6.4,1509.39
Lufthansa,ATL,SFO,2024-09-16,15:02,11:36,Business,6.64,250.44
American Airlines,DFW,FRA,2024-09-13,18:31,22:06,Business,10.44,409.14
Air Canada,LAX,ATL,2024-09-17,15:44,23:15,First,2.72,3097.94
Delta,FRA,MUC,2024-09-17,12:13,02:34,Business,7.57,2630.45
Air Canada,ATL,FRA,2024-09-17,13:07,13:45,Business,2.85,3564.09
Lufthansa,JFK,ATL,2024-09-12,04:08,15:57,Business,8.97,4023.52
Delta,ORD,YVR,2024-09-18,19:34,03:57,Business,9.39,3305.65
United,YVR,DFW,2024-09-18,02:39,00:07,Economy,4.64,1648.07
Delta,ORD,JFK,2024-09-16,02:59,12:34,Economy,7.85,2081.52
Air Canada,JFK,FRA,2024-09-18,13:59,13:58,Economy,7.15,1831.95
Lufthansa,LAX,DFW,2024-09-12,13:16,08:24,Business,4.74,2576.76
United,SFO,MUC,2024-09-16,14:05,21:07,Business,5.5,2021.36
Delta,JFK,ORD,2024-09-12,00:38,09:18,First,11.32,5554.18
